x,T,L,E
10.0,0.35809384024161484,9.019974812635006,1.2501528648238605e-07
14.9,0.41475042176649907,9.566252511502961,1.5972219443087613e-07
19.8,0.4803620678076098,10.145614485047878,2.0406447970625553e-07
24.700000000000003,0.5563411396562575,10.760064419733926,2.6071712839307525e-07
29.6,0.6443217056158916,11.41172735150281,3.330977597114699e-07
34.5,0.7461939869147839,12.102857015075157,4.255727967946242e-07
39.400000000000006,0.8641440334796832,12.835843638348415,5.437208748626289e-07
44.300000000000004,1.000699381776098,13.613222208847713,6.946693771103095e-07
49.2,1.1587815405482365,14.437681240818671,8.875244001152565e-07
54.1,1.3417662502950003,15.312072073282588,1.133920086782708e-06
59.0,1.5535525669616843,16.23941873121073,1.4487204657841414e-06
63.900000000000006,1.7986419267379472,17.222928383921996,1.8509161365176202e-06
68.80000000000001,2.082228452589785,18.266002436873595,2.3647698928183086e-06
73.7,2.4103018576402886,19.37224829520508,3.021280396054875e-06
78.60000000000001,2.789764376308451,20.54549183971913,3.860052194790782e-06
83.5,3.2285631979775062,21.78979065844647,4.931684901298459e-06
88.4,3.735839871691588,23.10944807955554,6.300825653642455e-06
93.30000000000001,4.322098069373401,24.509028054138664,8.05006900506641e-06
98.2,4.9993909066104445,25.993370940346104,1.028493950378781e-05
103.10000000000001,5.781528681379935,27.567610243456237,1.3140257539866016e-05
108.0,6.68430734712019,29.237190369776414,1.6788272481495198e-05
112.9,7.7257572177931895,31.007885455775224,2.144905373455565e-05
117.80000000000001,8.926410223120326,32.88581933756549,2.7403766567529192e-05
122.7,10.309582388639777,34.87748672980121,3.5011633565127276e-05
127.60000000000001,11.901665987380396,36.9897756872343,4.47316049050252e-05
132.5,13.732422864262128,39.22999142661298,5.7150044703372446e-05
137.4,15.835266632560273,41.60588159130839,7.301610357885405e-05
142.3,18.247516656926475,44.1256630460454,9.328691122949182e-05
147.20000000000002,21.010600880649807,46.79805029440566,0.00011918531516271998
152.10000000000002,24.170177616701025,49.63228561738288,0.0001522736484880434
157.0,27.776138532653285,52.638171037222584,0.0001945479765037834
